Year	Rating	Conference	Title	Author Names
1967	8.8	Family	Adventure Island	"Bourne, Ernie;Cooper, Burt;Crossley, Brian;Howson, John Michael;Manuel, Jack;McEwan, Colin (I);Smilie, James;Teale, Leonard"
1992	8.2	Comedy	Adventures in Wonderland	"Fleming, Robert Barry;Gottfried, Gilbert;Harris, Sam (I);Hoffman, John (XIV);Holland, Reece;Kuhlman, Richard;Lovelady, John (I);Mann, Wesley (I);McMahon, Ed (I);Nelson, Willie (I);Page, Ken (I);Reinhold, Judge;Richwood, Patrick;Sajak, Pat;Simpson, O.J.;Waters Jr., Harry"
2003	8.1	Comedy	Afers exteriors	"Altafaj, Amadeu;Bakero, Jose Mari;Barcel•À_, Pedro (IV);Boix, Carles;Cal•À_ada, Miquel;Chomsky, Noam;Duch, Jaume;Gasol, Pau;Graupera, Jordi;Ripeu, Miquel •À_ngel;Romeva, Ra•À_l;Ruiz Cabestany, Peio;Sala-i-Mart•À_n, Xavier;Solano, Xavier;Tremosa, Ramon"
1985	8.1	Comedy	Aff•À_ren Ramel	"Ljung, Martin;Ramel, Mikael;Ramel, Povel;Ulveson, Johan"
2010	8.6	Comedy	After Hours	"Barrs, Matt;Bowie, Soren;Clark, Anthony (XIV);Johnston, Cody;O'Brien, Daniel (XIV);Rowntree, Winston;Swaim, Michael"
1996	8.3	Family	Agent Z & the Penguin from Mars	"Barton, Duncan;Churchett, Stephen (I);Culbertson, Rod;Houghton, Anthony (I);McKay, Andrew (V);Sharrock, Ian;Wheeler, Andrew (V);Yates, Reggie"
2009	8.7	Comedy	Agents of Cracked	"Bowie, Soren;Katzeff, Oren;O'Brien, Daniel (XIV);Ricketts, Ryan;Seaton, Dylan John;Sullivan, Billy G.;Swaim, Michael"
1989	8.3	Comedy	Agro's Cartoon Connection	"Calder, Ian (II);Dunn, Jamie (I);Gibson, Jesse (II);Gibson, Michael 'Gibbo';Hills, Brad;Johnson, Brett (I)"
2012	8.2	Comedy	"Ah, taj Ivo!"	"Mlikota, Vedran;Modrinic, Dusko;Vovk, Silvio"
2012	8.9	Comedy	Airport Douchery	"Branch Jr., Elliott;Darson, Navaris;Droege, Drew;Gonzalez, Al (XI);Jones, Devon Michael;Kwan, Roger;Medina, Christian (V);Smith, DuRell;Steve, Dirty;Toohey, Sean Francis;Yanke, Chris"
2009	8.2	Drama	Aishiteru: Kaiy•À_	"Dankan;It•À_, Masayuki;Kakazu, Issei;Kaneko, Takatoshi;Komatsu, Kazushige;Sano, Shir•À_;Sat•À_, Shion;Takayama, Takehisa;Yamamoto, Tar•À_;Yoshikawa, Fumiki"
2014	8.2	Action	Akatsuki no Yona	"Akagi, Susumu;Burnett, Chris (I);Chapin, Clifford;Kanemaru, Jun'ichi;Kobayashi, Y•À_suke (I);Maeno, Tomoaki;McDonald, Joel;Morita, Masakazu (I);Okamoto, Nobuhiko;Potter, Brandon (I);Sabat, Christopher (I);Sakurai, Takahiro;Shimono, Hiro (I);Shimono, Hiro (III);Sinclair, Ian (IV);Solusod, Micah;Suwabe, Jun'ichi;Vale, Eric (I)"
2014	8.5	Comedy	Akbar Birbal	"Arora, Sumit (I);Kotian, Vishal;Pardiwalla, Farzil;Sharda, Kiku;Singh, Paban;Thakur, Anoop;Verma, Rocky"
2011	8.4	Comedy	Akbari Asghari	"Abbas, Imran;Khan, Fawad"
2008	8.2	Comedy	Akkara Kazhchakal	"Bandy, Saswata;Dev, Hari;Gregory, Jacob;Hannon, James (I);James, Gracey;Joseph, Jayan;Joseph, Litto;Kuttappan, Narayanan;Lampone, Richard;Madaparambath, Rengit Peter;Nair, Sanjeev (II);Nanda, Amarpreet;Neendoor, Peter;Palatty, Devassy;Paramus, Jose;Soman (II);Thomas, Geo;Valiyakallumkal, Josekutty;Valiyakallumkal, Kurian;Venugopalan, Ajayan;Vorob, Greg;Waheb, Mohammad"
2008	8.5	Comedy	Ako si Kim Samsoon	"Aliwalas, Victor;De La Paz, Dido;Escudero, Martin;Fernandez, Mark Anthony;Kho, Hayden;Lapus, John;Lopez, Marky;Ramos, Wendell;Santos, Kevin (I);Solinap, Arthur"
